,title,internal_id,url,description,responsibilities,qualifications,location,company,publish_date
369,Руководитель ВИП ВСП,4080108,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4080108,"«Сбербанк Первый» — премиальная сеть Сбербанка России. Обслуживания в России — 149 офисов в 103 городах. В 2019 году премиальная сеть Сбербанка обслуживает ~75 тыс. клиентов. «Сбербанк Первый» предлагает клиентам обслуживание в выделенных офисах, персонального менеджера, вклады с повышенными ставками, премиальные карты, кредитование, инвестиционные услуги и страховые продукты.","анализ результатов и трендов продаж в своем направлении; привлечение и сопровождение наиболее крупных клиентов по своему направлению; выполнение функции наставника: передача клиентского опыта, внедрение модели продаж и обслуживания, работа с отклонениями; взаимодействие с курирующими подразделениями для решения сложных вопросов; обеспечение соответствию деятельности подразделения внутренним политикам и инициативам Банка; контроль соблюдения внутренних процессов и стандартов подчиненными; руководство работой команды или подразделения, ответственность за целеполагание и достижение результата.","высшее образование по направлению финансы / банка, экономика / бухгалтерия; успешный опыт работы в Банке в направлении продаж не менее 3 лет; знание моделей, стандартов и технологий продаж банковских продуктов; знание всех элементов продуктовой банковской линейки и основных конкурентов в своей области специализации; опыт проведения обучающих мероприятий, наставнических сессий, переговоров; умение работать в режиме многозадачности; проактивная лидерская позиция, ориентация на достижение результата","Город Одинцово, Московская Область",Sber,2022-06-10 00:00:00
370,Руководитель направления разработки,4077366,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4077366,"Сбер сейчас это, крупнейшая цифровая экосистема. Технобренд, объединяющий лучшие мировые практики и современный стек. Сбер работает над созданием экосистемы удобных онлайн сервисов в самых разных сферах. Сейчас в нее входит более 50 компаний. Среди них- онлайн-кинотеатр Okko, сервис доставки еды Delivery Club и многие другие. Ищем руководителя направления для управления командой объединенных управленческих данных. Мы занимаемся поставкой основных источников данных в нашу платформу, построением на их основе базовых витрин управленческой отчетности, включая вопросы SLA, качества данных, надежности. На этой позиции вы сможете: Расширить управленческий и технический опыт, работая над задачами в рамках стримов поставки данных (включая вопросы качества данных, SLA) и технологических миграций.","Предстоит: Управление командой сотрудников (15 сотрудников в составе трех мини-команд); Участие в подготовке архитектуры сервиса, выработка технических решений; Планирование контроль технологических миграций (переход на целевые стеки) по направлению; Управление бэклогом команды, взаимодействие с заказчиками.","Опыт работы на позиции руководителя разработки, менеджера проектов в Банке или крупной компании из сферы Retail или Telecom от 2х лет Опыт построения хранилищ данных; Знание процессов жизненного цикла разработки ПО, понимание процессов подготовки, согласования SLA; Умение приоритезировать задач","Город Екатеринбург, Свердловская Область",Sber,2022-06-14 00:00:00
371,Системный аналитик (команда Комплаенс),4048575,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4048575,"Команда в поиске Системного аналитика на такие проекты, как: Автоматизация процессов выявления операций, подлежащих обязательному контролю и расследования деятельности лиц особого контроля. Автоматизация взаимодействия с клиентами в рамках процессов комплаенс и развитие сервисов мер пресечения отмывания доходов и финансирования терроризма. Создание рабочих мест сотрудников Комплаенс по расследованию сомнительных операций клиентов. Развитие ряда продуктов: алгоритмы для противодействия отмыванию денежных средств на финансовых рынках РФ, Кипра и Великобритании; автоматизация процессов соблюдения правил учета и контроля инсайдерской информации; автоматизация санкционного контроля на финансовых рынках.","Сбор и анализ требований; Проектирование моделей данных; Создание тех. документации (ТЗ, сценарии тестирования, спецификации интеграционных взаимодействий(протоколы, форматы обмена данными, регламент взаимодействия), описание реализации); Создание и согласование с заказчиком прототипов интерфейсов; Участие в функциональном тестировании; Участие в сопровождении выведенного в ПРОМ продукта.","Опыт разработки требований на АС; Опыт проектирования моделей данных, пользовательских интерфейсов; Знание технологий интеграции приложений (веб-сервисы, очереди сообщений, файловые взаимодействия), опыт постановки задач разработчику; Понимание принципов работы HTTP / HTTPS, TLS / mTLS, синхронных / асинхронных взаимодействий, REST-сервисов; Понимание процесса и опыт тестирования ПО; Понимание микросервисной архитектуры; Опыт работы с реляционными моделями данных; Базовые знания SQL. Желательно: Опыт работы с Atlassian Confluence и Jira; Опыт работы в командах Agile; Знание английского языка на уровне понимания технической документации; Опыт проведения нагрузочного тестирования; Знание нотаций моделирования бизнес-процессов, опыт моделирование бизнес-процессов.","Город Ростов-на-Дону, Ростовская Область",Sber,2022-06-14 00:00:00
373,Водитель-инкассатор,4074303,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4074303,"Сбер — лучший работодатель России. У нас более 60 компаний экосистемы и 14 тысяч подразделений по всей стране. Водители-инкассаторы— это настоящие профессионалы, которые обеспечивают перевозку и сохранность банковских ценностей. В Сбербанке тебя ждет дружный коллектив, современные бронированные автомобили и технологии работы, забота о здоровье и безопасности, а также постоянное профессиональное развитие.","Тебе предстоит: перевозить денежные средства, а также другие ценности оказывать инкассаторские услуги клиентам банка обеспечивать сохранность перевозимых ценностей, автотранспорта.","Мы ждем от тебя: образование не ниже среднего права категории B хорошую физическую подготовку готовность работать на маршруте вдвоем и по одному умение обращаться с оружием или готовность обучаться и сдавать соответствующие нормативы. Рассматриваем кандидатов в том числе и без опыта в аналогичной позиции, но с подтвержденным стажем работы водителем от 1 года .","Город Видное, Ленинский Район, Московская Область",Sber,2022-06-14 00:00:00
374,"Водитель-инкассатор, г. Егорьевск",4059481,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4059481,"Сбер — лучший работодатель России. У нас более 60 компаний экосистемы и 14 тысяч подразделений по всей стране. Водители-инкассаторы— это настоящие профессионалы, которые обеспечивают перевозку и сохранность банковских ценностей. В Сбербанке тебя ждет дружный коллектив, современные бронированные автомобили и технологии работы, забота о здоровье и безопасности, а также постоянное профессиональное развитие.","Тебе предстоит: перевозить денежные средства, а также другие ценности оказывать инкассаторские услуги клиентам банка обеспечивать сохранность перевозимых ценностей, автотранспорта.","Мы ждем от тебя: образование не ниже среднего права категории B хорошую физическую подготовку готовность работать на маршруте вдвоем и по одному умение обращаться с оружием или готовность обучаться и сдавать соответствующие нормативы. Рассматриваем кандидатов в том числе и без опыта в аналогичной позиции, но с подтвержденным стажем работы водителем от 1 года .","Город Егорьевск, Московская Область",Sber,2022-06-14 00:00:00
375,Системный аналитик,4077720,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4077720,,"Вам предстоит: - сбор, анализ и формализация требований бизнеса, преобразование их в функциональные требования, согласование с заинтересованными лицами; - участие в проработке нефункциональных требований; - разработка требований к бэковым и фронтальным системам; - участие в проработке архитектурных решений; - постановка задач для разработчиков; - построение моделей бизнес-процессов и моделей данных; - проектирование интеграционных сервисов, структур данных (JSON, XML), построение диаграмм взаимодействий; - участие в приемо-сдаточных испытаниях; - активное взаимодействие со всеми участниками процесса; - запуск новых функций для миллионов пользователей; - участие в развитии услуг и сервисов для бизнес-карт.","Мы ожидаем, что Вы: - Имеете опыт работы системным аналитиком от 2-х лет на серьёзных IT-проектах с интеграционной составляющей, опыт работы в банковском секторе (в банке или компании-интеграторе) от года; - Умеете эффективно общаться с людьми и добиваться результата; - Имеете опыт работы с требованиями; - Понимаете принципы интеграции систем (REST, SOAP) и разработки схем обмена данными (JSON, XML); - Владеете современными нотациями (BPMN, UML); Будет здорово, если вы: - Знаете жизненный цикл разработки ПО; - Умеете формировать SQL запросы; - Работали по Agile; - Умеете работать в системах проектного управления и базах знаний, таких как Confluence, Jira, Git.",Город Москва,Sber,2022-06-14 00:00:00
376,Ведущий специалист,4076568,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4076568,,"Сопровождение кредитов ЮЛ сегмента Крупный, средний бизнес: подготовка уведомлений о предстоящих платежах, проведение платежей в счет погашения кредита, изменение процентных ставок, работа с картотекой, списания в счет погашения задолженности и др. Сопровождение овердрафтов ЮЛ. Установление лимита овердрафта на очередной период действия, в остальном по аналогии с кредитами. Сопровождение банковских гарантий",Высшее финансовое / экономическое образование Знание процесса кредитования ЮЛ Способность к анализу при принятии решения ситуации и требований ВНД Работа в многозадачном режиме Желателен опыт в корпоративном кредитовании,"Город Нижний Новгород, Нижегородская Область",Sber,2022-06-14 00:00:00
377,DevOps Lead,4078878,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4078878,"Мы молодая, амбициозная и дружная команда, развиваем, поддерживаем и тиражируем современную микросервисную облачную платформу для крупнейшей в России финансовой организации. В своей работе мы используем самые актуальные \ передовые мировые практики, Agile&DevOps подходы, инструменты, активно сотрудничаем с лидирующими производителями железа и ПО в IT-индустрии. Наши заказчики – внутренние IT подразделения: группы эксплуатации, трайбы разработки, продуктовые команды, дочерние зависимые организации, осуществляющие провайдерские услуги, т. е. мы работаем как IT для IT. Руководство поддерживает и мотивирует стремление к достижению высоких результатов, открыто и своевременно предоставляет обратную связь, обеспечивает все условия для глубокого развития каждого члена команды.","Обязанности Сопровождение и развитие системы управления облачной инфраструктурой (Day-0, day-1 operations system, automate infrastructure provisioning, infrastructure as code). Автоматизация процесса сопровождения, внедрение релизов. Реализация CI / CD пайплайнов ядра и компонентов системы и микросервисов. Реализация CI / CD пайплайнов продуктов платформы. Поддержка Dev / ИФТ стенда команды разработки. Взаимодействие с разработчиками / тестировщиками, 2-й линией поддержки. Работать с дефектами / системой отслеживания ошибок (bug tracking) Работа с логами, разбор проблем на ИФТ, помощь и консультация в Пром, настройка и конфигурирование стендов ELK. Установка и настройка программного обеспечения на серверы (Linux, Docker, Kubernates). Ведение технической документации (Инструкции для дежурных, инструкции пользователя, инструкции по обновлению, схемы интеграционного и функционального взаимодействия).","Требования Требования к квалификации: Высшее техническое образование (ИТ) Опыт работы: не менее 3 лет в ИТ. Знания и навыки: Отличные знания и опыт работы с ОС Linux и её компонентами (Network, LVM, system services и др. ) Знания и опыт работы с контейнерной изоляцией (Docker, Kubernetes, OpenShift) Знания и опыт работы с серверной виртуализацией (KVM, VmWare, OpenStack и др. ) опыт работы и интеграции с системами документирования, баг-трекинга, контроля версий, (Jira, Confluence, Git / BitBucket, GitLab) Автоматизация работы с помощью Bash, Ansible, Python, Jenkins. Знания подходов и принципов CI / CD, написание pipeline. Опыт работы со стеком ELK, написание запросов, построение визуализаций. Преимуществом будут являться: Знание языков программирования Groovy / Python. Опят работы с менеджерами очередей (Rabbit, MQ, Kafka). Общие знания ITIL, Agile. Опыт работы с системами мониторинга (Zabbix, Prometheus, Grafana). Поиск решений по мониторингу сложных и нестандартных метрик, написание bash / python скриптов.",Город Москва,Sber,2022-06-14 00:00:00
378,QA инженер (автоматизация тестирования),4067003,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4067003,"Команда занимается разработкой систем для автоматизации процесса по контролю конфликтов интересов внутри банка. У нас имеются задачи в самых разных направлениях деятельности: front / back / mobile / big data, поэтому мы рады кандидатам с широким кругом профессиональных интересов.","Обязанности: Обеспечение качества разработки ПО. Активное взаимодействие с участниками команд (аналитиками, разработчиками и тестировщиками интеграционных проектов). Анализ бизнес требований, функциональных требований и технических заданий. Разработка автоматизированных тестовых сценариев. Проведение системного, интеграционно-функционального, регрессионного тестирования. Анализ тестовой модели и уровня покрытия функционала тестами. Участие в автоматизации процесса непрерывного развертывания и непрерывной интеграции. Ведение дефект-трекера; контроль, тестирование исправления дефектов. Выявление и эскалация проблем.","Требования: Опыт работы в распределенных командах. Опыт тестирования ПО от 2-х лет. Опыт работы с БД на уровне написания запросов средней сложности (СУБД Oracle, MSSQL). Опыт автоматизации Back-end, API, UI. Знание одного из объектно-ориентированных языков программирования на уровне написания простых приложений. Личностные качества – коммуникабельность, целеустремленность, высокий интерес к процессу тестирования. Желание работать в команде. Опыт работы с инструментами CI / CD. Опыт работы с инструментами управления тестированием Будет плюсом: Знание современных подходов к процессу тестирования. Знание техник тест-дизайна и опыт написания тестовых сценариев с их использованием опыт тестирования проектов в крупных организациях (Банки ТОР20, крупные интеграторы).",Город Санкт-Петербург,Sber,2022-06-14 00:00:00
379,Страховой брокер по моторным видам страхования,4077772,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4077772,"ООО «Страховой брокер Сбербанка» является дочерней компанией Сбербанка, 100% доли уставного капитала Общества принадлежит ПАО Сбербанк. Основная цель нашей организации - обеспечить высокий уровень качества предоставления услуг для наших Клиентов, используя весь комплекс страховых услуг российского и зарубежного рынка. В данный момент мы находимся в поиске сотрудника на позицию Страхового брокера, который будет заниматься моторными видами страхования","Осмотр ТС в целях страхования; Продажи моторных видов страхования корпоративным клиентам; Презентации, взаимодействие с внешними клиентами; Взаимодействие с ПАО Сбербанк по продажам КАСКО клиентам; Взаимодействие с СК Партнерами в рамках котировочного процесса оформления полисов и ППО; Консультации по страхованию и ППО (в т. ч. По урегулированию убытков); Работа с воронкой и прямым рынком; Работа с потенциалом / сделками в АС Брокера / Банка; Заключение договоров страхования.","Успешный опыт работы не менее 2-х лет в страховании; Знание основных страховых продуктов в области моторных видов страхования; Высшее образование; Высокий уровень коммуникативности и клиентоориентированности, нацеленность на результат, навыки «агрессивных» продаж; Опыт работы в режиме многозадачности и большим объемом информации","Город Владивосток, Приморский Край",Sber,2022-06-14 00:00:00
380,Руководитель ВИП ВСП,4080330,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4080330,"Сбер — лучший работодатель России. У нас более 60 компаний экосистемы и 14 тысяч подразделений по всей стране. СберПервый – это офис премиального обслуживания для состоятельных клиентов Сбера. Мы работаем с биржевыми инструментами, помогаем создавать инвестиционный портфель и используем готовые стратегии для формирования капитала клиентов.","Осуществление общего руководства подразделением по обслуживанию Клиентов Сбербанк 1 Осуществление и организация эффективных продаж банковских, инвестиционных, страховых и прочих продуктов и услуг; Осуществление мероприятий по привлечению потенциальных клиентов на обслуживание в ВИП ВСП; Осуществление персонального обслуживания закрепленной базы клиентов; Сопровождение операций купли- продажи иностранной валюты и драгоценных металлов; Организация работы с персоналом ВИП ВСП.","Высшее профессиональное образование; Стаж работы в банке, финансовых, страховых учреждениях или торгово-сервисных компаниях в области продаж, обслуживания и консультирования клиентов не менее 3-х лет. Навыки эффективного управления и коммуникаций, консультирования и продаж, умение принимать управленческий решения, организационные способности.","Город Саранск, Мордовия Республика",Sber,2022-06-14 00:00:00
381,Java разработчик,4080003,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4080003,,Роль и проект: Работа в команде с аналитиками для проработки архитектуры решения. Консультации и предложения возможных решение на основе требований Разработка back части платформы Участие в разработке и автоматизации автотестов,"опыт разработки на Java 8+ в коммерческих проектах от 1 года; знание и опыт применения на практике паттернов проектирования; Понимание микросервисной архитектуры знание EIP, AOP; знание HTTP, REST, gRPC, JSON; понимание организации кэшей, в том числе распределенных; опыт работы с реляционными БД (PostgreSQL / OracleDB), навык написания и оптимизации запросов SQL; Высшее или последние курсы профильного технического образование.",Город Санкт-Петербург,Sber,2022-06-14 00:00:00
382,DevOps Engineer,4080710,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4080710,"Мы ищем в команду грамотного DevOps-инженера. Работаем над развитием большого и стратегически важного ИТ-продукта для Блока Финансы и Казначейства Сбера, стремимся соответствовать лучшим практикам Scrum / LeSS / Kanban, команды распределены по разным городам. Придя к нам, вы присоединитесь к большому и дружному коллективу, разрабатывающему инструменты для расчета цены / эффективности по продуктам Банка. Наша цель - повышение доходов Сбера и его клиентов за счет интеллектуального ценообразования по продуктам банка, снижение T2M и бесшовного встраивания ИТ-продуктов Казначейства в бизнес-процессы Сбера. Сегодня заявки на кредиты и депозиты утверждаются почти мгновенно, а для юридических лиц это происходит еще и на индивидуальных условиях. Придя в нашу команду, поймете, как это происходит. Вы вырастете не только как ИТ-профессионал, но также станете экспертом в банковском деле, узнаете в деталях, как работает современный автоматизированный банк. Как ит-специалист вы приобретете неоценимый опыт в развитии и сопровождении высоконагруженных банковских систем, обрабатывающих большие данные и выполняющих сложные расчеты. Приходите к нам. У нас интересно!","Задачи: автоматизация повторяющихся операций, связанных с развертыванием и мониторингом платформы; развертывание платформы и необходимой для нее инфраструктуры на хостах; конфигурирования и создание сред для разработки и тестирования; развертывание и поддержка работоспособности инфраструктурных приложений, необходимых для разработки; документирование процедур развертывания; поддержка разработчиков.","Мы ожидаем: знание на уровне администратора и опыт работы с Unix-подобными ОС (RHEL); владение одним или несколькими скриптовыми языками (Unix shell, Python, Powershell); опыт работы с инструментами автоматизации развертывания приложений (Jenkins, Ansible, Nexus); опыт работы с JAVA стеком разработки: базовые навыки программирования (java или groovy), понимание механизма сборки Java-приложения (Java, Git, Maven); понимание принципов работы стека протоколов TCP / IP; опыт работы с виртуализацией (OpenStack) хостов; если ты живо интересуешься тенденциями и технологиями в сферах мониторинга и развертывания систем. Было бы дополнительным плюсом: опыт в развертывании и поддержке систем в облаке (Openshift, Kubernetes); опыт работы с . NET стеком разработки; опыт администрирования Windows Server 2008-2016 на базовом уровне.","Город Самара, Самарская Область",Sber,2022-06-15 00:00:00
383,Senior Ruby Developer (Platform V Works),4071405,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4071405,"Компания «Сбербанк Технологии» сейчас в поисках специалиста на позицию Ruby разработчик! Мы - команда цифровой платформы Сбербанка Platform V, создаём и развиваем в составе платформы комплекс облачных инструментов автоматизации производства программных продуктов, призванный уменьшить количество рутинных, повторяющихся задач, и максимально автоматизировать производственный процесс. Наша платформа и инструменты разработки в составе платформы уже поставляются в госорганы и крупным корпоративным клиентам, а в будущем будут доступны клиентам как облачный сервис. Сейчас мы работаем над технологическим и функциональным развитием существующих инструментов, созданием новых и устранением vendor-lock. Для этого расширяем команды и ищем высоко квалифицированных специалистов.","Участие в принятии решений по технологии реализации требований и используемым фреймворкам; Участие в оценке задач по срокам выполнения, декомпозиция задач; Проведение code review; Отслеживание исполнения релизного цикла и сроков решения задач; Разработка комплексного продукта по управлению задачами, требованиями и версионному контролю исходного кода – замены решений Atlassian Jira, Confluence, BitBucket; Реализация требований госконтракта к Продукту; Разработка функциональных и технологических возможностей Продукта, не снижающих пользовательский опыт работы в решениях Atlassian.","Опыт разработки на Ruby от 3х лет, опыт управления командой разработки; Ruby / Rails, Vue. js, Haml, RSpec, Redis, Background processing (Resque, Sidekiq, etc), Git, знание linux, умение писать тесты; Docker, Kubernetes / OpenShift, REST / grpc, kafka, service-mash; Объектно-ориентированное проектирование, паттерны проектирования, алгоритмы и структуры данных; Опыт разработки высоконагруженных web-проектов, системы кластеризации; Опыт работы с SQL / noSQL базами данных; Опыт DevOps, настройки pipeline, GitLab – опыт использования, развертывания и желательно кастомизации; Умение ориентироваться в чужом коде, опыт code-review; Английский - достаточный для чтения и понимания технической документации.",Город Санкт-Петербург,Sber,2022-06-14 00:00:00
384,Frontend разработчик (UI Kit),4080288,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4080288,"SberTech приглашает в свою команду UI Frontend разработчика. Наша команда развивает продукты для создания приложений на основе Platform V, с фокусом на разработчиков современных пользовательских приложений. Мы разрабатываем технологическую платформу (Platform V) на современном стеке технологий, с фокусом на надежности и производительности. Наши клиенты – это бизнес и государственные ведомства, как внутри РФ, так и на международном рынке. Мы помогаем нашим клиентам совершить технологическую трансформацию и предоставлять своим пользователям лучший сервис, построенный на фундаменте Platform V. Количество конечных пользователей платформы – десятки, сотни и десятки сотен миллионов человек. обязанности",Чем нужно будет заниматься: Развитие UI платформы; Разработка новых и доработка существующих UI компонентов; Разработка архитектурных решений; Поддержка пользователей UI платформы; Написание unit и CSS тестов; Оценка и декомпозиция задач; Поддержание документации в актуальном состоянии; Проведение code-review.,"Наши ожидания: Экспертное знание JavaScript (включая современные стандарты ES6, ES7) и особенностей языка, опыт использования TypeScript; Опыт разработки приложений на React / Angular или аналогичных технологиях; Уверенное понимание шаблонов проектирования архитектуры front-end приложений, а также опыт их применения в коммерческих проектах; Понимание асинхронной модели выполнения кода (eventloop, callbacks, promises); Знание систем сборки проектов на Webpack; Опыт работы в команде; Знание систем контроля версий Git; Опыт работы с библиотеками для тестирования (enzyme / jest). Будет плюсом: Понимание микросервисной и микрофронтенд архитектуры; Опыт разработки сложных продуктов с использованием React / Redux; Опыт использования Lerna, Yarn Опыт построения CI.",Город Москва,Sber,2022-06-14 00:00:00
385,Специалист по сервисной поддержке продуктов эквайринга,4073038,https://rabota.sber.ru/v2/gateway/api/pulseservice/v1/search/get/4073038,,"Обязанности: Работа по регистрации новых партнеров и сопровождение текущих партнеров в соответствии со стандартами направления по сервисной поддержке Организация исполнения плана мероприятий, направленного на выполнение целевых показателей направления Работа по снижению доли терминалов с низким оборотом Осуществление взаимодействия с клиентами в рамках дебиторской задолженности, претензионной работы Взаимодействие со смежными подразделениями по вопросам сервисной поддержки партнеров Участие в переговорах с клиентами, консультирование по вопросам обслуживания.",Общие требования: Навыки эффективных коммуникаций Навыки работы с возражениями Умение справляться со сложными ситуациями и выдерживать высокий темп работы Быстрая обучаемость Высокий уровень стрессоустойчивости,"Город Иркутск, Иркутская Область",Sber,2022-06-15 00:00:00
